ID_PRODUK,KATEGORI,KODE,PACK,HARGA
100,KRIM MALAM,NCF1,Pot 10 g,55000
101,KRIM MALAM,NCF2,Pot 10 g,65000
102,KRIM MALAM,NCM2,Pot 10 g,70000
103,KRIM MALAM,NCM3,Pot 10 g,70000
104,KRIM MALAM,NCA2,Pot 10 g,65000
105,KRIM MALAM,NCA3,Pot 10 g,70000
106,KRIM MALAM,AH2,Pot 10 g,50000
107,KRIM MALAM,AF3,Pot 5 gr,55000
108,KRIM MALAM,NCHT,Pot 10 gr,60000
109,KRIM MALAM,ANC,Pot 10 gr,65000
110,KRIM MALAM,NCT,Pot 10 gr,50000
111,KRIM MALAM,RL,Botol 30 ml,70000
112,KRIM MALAM,NCHT-1,Pot 10 gr,50000
113,KRIM MALAM,NCHT-2,Pot 10 gr,50000
114,KRIM MALAM,NCA1,Pot 10 gr,55000
115,KRIM MALAM,NANO WHITE-1,Pot 10 gr,115000
116,KRIM MALAM,NANO WHITE-2,Pot 10 gr,125000
117,KRIM MALAM,ANTI OXIDANT,Pot 10 gr,70000
118,KRIM PAGI,MP,Pot 10 g,60000
119,KRIM PAGI,AP,Pot 10 g,65000
120,KRIM PAGI,BC1,Pot 10 g,65000
121,KRIM PAGI,BC2,Pot 5 g,55000
122,KRIM PAGI,AH1,Pot 10 g,50000
123,KRIM PAGI,NT,Pot 10 g,65000
124,KRIM PAGI,WH2,Pot 10 g,65000
125,KRIM PAGI,NS,Pot 10 g,55000
126,KRIM PAGI,DAY SPRAY,Botol 30 mL,70000
127,KRIM PAGI,BC3,Pot 10 g,55000
128,TABIR SURYA,SB1,Pot 10 g,50000
129,TABIR SURYA,SB2,Pot 10 g,55000
130,TABIR SURYA,SB3,Pot 10 g,55000
131,TABIR SURYA,SB4,Pot 10 g,60000
132,TABIR SURYA,SB SPF 50,Pot 10 g,100000
133,CLEANSER,FW1,Botol 100 ml,60000
134,CLEANSER,FW2,Botol 100 ml,60000
135,CLEANSER,TO1,Botol 100 ml,50000
136,CLEANSER,TO2,Botol 100 ml,50000
137,CLEANSER,CM,Botol 100 ml,50000
138,SERUM,WHITENING,Botol 20 ml,110000
139,SERUM,VIT C 20,Botol 20 ml,110000
140,SERUM,SERUM GOLD BRIGHT,Botol 20 ml,165000
141,SERUM,SERUM ACNE ,Botol 9 ml,80000
142,SERUM,DERMACEPT 10%,Btl 10ml,55000
143,SERUM,DERMACEPT 15%,Btl 10ml,285000
144,SERUM,REJUVENATING SERUM,Botol 15 ml,245000
145,SERUM,ANTI BLEMISH,Botol 9 ml,85000
146,SUPPORT,ANTI IRITASI ,Pot 5 g,30000
147,SUPPORT,EYE BAG GEL,Pot 5 g,50000
148,SUPPORT,CALMING CREAM ,Pot 10 g,50000
149,SUPPORT,ANTI WRINKLE,Pot 5 g,200000
150,SUPPORT,SALEP G,Pot 5 g,25000
151,SUPPORT,SALEP T,Pot 5 g,50000
152,SUPPORT,REPAIR EYE CREAM,Pot 5 g,80000
153,SUPPORT,REJUVENATING CREAM,Pot 10 g,195000
154,SUPPORT,SOOTHING CREAM,Pot 10gr,55000
155,DECORATIVE,NATURAL ,Pot 20 g,70000
156,DECORATIVE,MINERAL,Pot 20 g,75000
157,DECORATIVE,LP1,Pot 20 g,70000
158,DECORATIVE,LP2,Pot 20 g,70000
159,DECORATIVE,LP3,Pot 20 g,70000
160,DECORATIVE,LP4,Pot 20 g,120000
161,DECORATIVE,CP1,Pot 20 g,120000
162,DECORATIVE,CYX AIR CUSHION FOUNDATION - SOFT BEIGE,Pot 20 g,120000
163,DECORATIVE,CYX AIR CUSHION FOUNDATION - NATURAL,Pot 20 g,120000
164,DECORATIVE,CC CREAM,Pot 5 gr,70000
165,DECORATIVE,BB GOLD CREAM SPF 30,Pot 10gr,85000
166,BODY_CARE,DAY BODY LOTION,Botol 120 ml,85000
167,BODY_CARE,NIGHT BODY LOTION,Botol 120 ml,85000
168,BODY_CARE,SLIMMING CREAM ,Pot 50 gr,95000
169,BODY_CARE,SLIMMING GEL,Botol 120 ml,95000
170,BODY_CARE,UNDERARM WHITENING ,Tube 30 g,70000
171,BODY_CARE,STRETCH MARK,Tube 50 g,95000
172,TEENS,WHITE NIGHT CREAM TEENS,pot 10 gr,60000
173,TEENS,WHITE DAY CREAM TEENS,pot 10 gr,50000
174,TEENS,WHITE FACIAL WASH TEENS,btl 100ml,50000
175,TEENS,WHITE TONER TEENS,btl 100ml,45000
176,TEENS,ACNE NIGHT CREAM TEENS,pot 10 gr,60000
177,TEENS,ACNE DAY CREAM TEENS,pot 10 gr,50000
178,TEENS,ACNE FACIAL WASH TEENS,btl 100ml,50000
179,TEENS,ACNE TONER TEENS,btl 100ml,45000
180,ALAT & SERUM MESOTHERAPY,ALAT DERMAROLLER,pcs,250000
181,MEDICINE,CLYNDAMYCIN 150,CAPSUL,1800
182,MEDICINE,CLYNDAMYCIN 300,CAPSUL,2600
183,MEDICINE,ZINK,CAPSUL,1800
184,MEDICINE,DOXYLINE,CAPSUL,1800
185,SUPLEMEN,PYNOCARE,BLIS @ 10 CAP,135000
186,SUPLEMEN,PYNOCARE WHITE,BLIS @ 10 CAP,175000
187,SUPLEMEN,ACNACARE,BLIS @ 10 CAP,90000
188,SUPLEMEN,GLOW,BLIS @ 10 CAP,90000
189,SUPLEMEN,WHITE BEAUTY,BLIS @ 10 CAP,60000
190,SUPLEMEN,SLIMMING CAPS ,BOTOL @ 30 CAP,315000
