No,Nama Barang,Jumlah,Harga,Total
1,NCF1,1,60000,60000
2,NCF2,41,70000,2870000
3,NCM2,16,75000,1275000
4,NCM3,4,75000,300000
5,NCA1,2,70000,140000
6,NCA2,44,70000,3080000
7,NCA3,8,75000,600000
8,AF3,6,55000,330000
9,AH2,5,60000,300000
10,ANC,2,70000,140000
11,ANTI OXIDANT,3,80000,240000
12,NANO WHITE-1,19,130000,2470000
13,AH1,6,57000,342000
14,MP,9,65000,585000
15,AP,11,75000,825000
16,BC1,23,70000,1610000
17,BC2,1,52250,52250
18,BC2,4,55000,220000
19,WH2,25,70000,1750000
20,BC3,1,61750,61750
21,FW1,54,57000,3078000
22,FW2,59,57000,3363000
23,TO1,26,55000,1430000
24,TO2,34,55000,1870000
25,CM,10,55000,550000
26,NT,1,65000,65000
27,SALEP G,5,25000,125000
28,SERUM ACNE ,33,90000,2970000
29,DERMACEPT 15%,17,290000,4930000
30,SB1,58,60000,3480000
31,SB2,97,65000,6305000
32,SB3,1,61750,61750
33,SB4,4,65000,260000
34,LP2,3,75000,225000
35,CP1,1,125000,125000
36,LP4,1,120000,120000
37,CYX AIR CUSHION FOUNDATION - SOFT BEIGE,4,195000,780000
38,BB GOLD CREAM SPF 30,3,90000,270000
